# Total_Iterations; SpaceFilter; TimeFilter; POOL_SIZE; DIM_MULTI_LEVEL
#4.39003e+10;3;3;10;10;
Pattern;Sum_level;Count_level
23630922;477378;100
106917671;167472;40
33312295;362788;80
2093119;992693;100
14577152;198546;40
96366591;37126;10
55420562;117909;30
132904435;35336;10
100368251;109833;30
53280767;69808;20
38301752;411183;90
31458816;70421;20
16543804;288321;70
16777432;335544;70
76695660;39782;10
131314168;42630;10
42992138;35036;10
100626423;264348;60
8142345;255768;60
33324927;171259;40
134080928;38682;10
1966512;41121;10
31688206;113329;30
134124543;1074696;100
6406531;37062;10
6029385;36404;10
50331840;1077097;100
33562752;567072;100
133660167;35179;10
75501659;33777;10
76092004;36954;10
132222663;368566;80
133693948;276981;60
1573895;114530;30
134086565;81262;20
393205;35773;10
133165528;1073249;100
14174660;34721;10
117669956;195195;40
256003;124339;30
233496;33783;10
263039;44086;10
69636809;34156;10
110315552;37341;10
132376056;37077;10
261640;1106206;100
91852825;34493;10
588;50877;10
123982312;160963;40
58420148;33725;10
8172608;33767;10
14379424;33863;10
132381693;838530;100
2096678;45248;10
3997249;35027;10
8651776;283305;70
134021122;34149;10
126352896;428869;90
37887;1441886;100
6032903;1104608;100
1573175;86561;20
66040521;35732;10
134216731;122379;20
263759;637196;100
19962114;42121;10
95832575;444812;80
132350031;38066;10
29498480;113611;30
133955000;36648;10
131727255;36537;10
57184610;33735;10
56885449;234532;60
11819547;186754;50
20741711;38861;10
75610038;278953;60
133983823;35621;10
18976984;955612;100
28732;111258;30
133005819;38328;10
125550072;61340;10
67372575;139206;30
78826341;159525;40
134066177;251775;60
20854287;33964;10
1067303;400974;90
3972623;596095;100
77483823;734186;100
130022383;545008;100
52952832;190341;40
132116403;79674;20
117197824;1182895;100
134217451;267205;60
50348031;256261;60
117145054;36861;10
65139193;133828;30
130089184;34981;10
56098816;925910;100
131063711;40904;10
121373183;607052;100
132124159;694139;100
134169598;114133;30
163856;42610;10
16810493;38550;10
16875936;163366;40
1305087;439406;90
1310724;318985;70
134213933;37103;10
65939219;36314;10
4826;106409;20
262360;329912;60
102239238;77142;20
114974407;33752;10
54896339;40009;10
54369997;38102;10
161737;38224;10
117440566;304386;70
109275582;42498;10
53850732;34291;10
134180831;473851;90
83815798;34448;10
132362704;368792;70
59885796;1109505;100
1671679;316331;70
31584744;34290;10
115083465;37504;10
9474358;34336;10
250366;34322;10
23860827;280254;60
130155265;80419;20
134217574;1103993;100
134085886;949079;100
95907255;148848;30
32372735;76263;20
131433;40443;10
113311743;70674;20
50069504;1189558;100
125550031;135968;30
133994295;39055;10
125824991;407848;90
132378895;34541;10
38277641;189372;40
16793664;74608;20
68958432;114606;30
56922633;286084;60
18906624;566007;100
102528;113269;20
6583871;40519;10
133906942;290289;70
19108344;34476;10
918025;35016;10
133169005;111211;30
100597723;401338;90
50593407;122859;30
133949919;41935;10
18878480;35379;10
131956735;97331;20
16777473;94534;20
14708799;1048842;100
127826423;78041;20
16816932;34754;10
133980223;36552;10
19286527;1132259;100
344158;39535;10
12943360;33985;10
123993709;34365;10
117407423;1067500;100
1970112;124655;30
126848975;151465;40
1329590;155506;40
1586691;34222;10
58458167;107977;30
133166845;340587;70
134103476;284859;60
393720;74374;20
1058868;41430;10
50561025;53725;10
110250788;39712;10
261722;72808;20
104842812;557337;100
102560014;42444;10
134105595;837905;100
133992896;214713;50
104857604;100448;20
109051911;498710;90
126615552;430970;90
118256071;613343;100
817279;34639;10
24952414;334461;70
54369792;575305;100
81768960;555922;100
1081416;610609;90
75004222;40743;10
132120126;44808;10
134111232;932366;100
15843591;73316;20
132378175;36919;10
117420096;232563;50
6320185;41475;10
134216175;645400;100
16752127;241755;60
99596287;37615;10
17039040;377413;80
65401849;485180;80
116288822;50615;10
133955556;591289;100
12377;34683;10
128056287;34139;10
110315593;215099;50
133691870;40398;10
132259839;34638;10
80530534;432028;90
57540607;1227311;100
32806;754681;100
75759111;204017;50
100728960;1121176;100
16555593;41576;10
56660256;45595;10
102514239;43658;10
67370497;767316;100
134021081;469637;90
18907344;54084;10
58308169;37632;10
57671616;671085;100
125866569;71561;20
36324;35395;10
1794048;330294;70
114823689;429852;90
133020365;35600;10
117436287;345005;70
83625990;334413;80
52919812;34322;10
101910788;566966;100
98331;334392;60
134199264;380089;80
1600804;278905;60
67113716;40686;10
40521;204059;50
134216895;249725;50
84000256;34054;10
58736007;33795;10
14679935;75175;20
83680879;50736;10
147583;223679;50
133957634;199965;40
1863729;139297;30
133660928;33831;10
52199424;42094;10
110362047;38530;10
15895;37712;10
101939652;39352;10
2391552;483101;90
24164382;34275;10
132103935;132446;30
127126013;69080;20
2543;37616;10
8357827;42742;10
117570814;34667;10
16924673;36054;10
30687;33879;10
133983782;604342;100
66715134;1029376;100
496585;78202;20
1839103;1322832;100
15496831;141148;30
113640193;48305;10
9540603;35618;10
66060271;38349;10
37855440;435096;70
106638514;41455;10
123544722;236509;60
16678887;37088;10
50334720;695037;100
160256;775900;100
134215496;84834;20
526848;234654;50
76770340;358705;70
262401;39494;10
133955515;246607;60
56996552;989253;100
92159775;114177;30
28367206;172653;40
16883856;36043;10
134068214;751547;100
119531068;72659;20
57520857;1161665;100
53590236;35590;10
9456048;319868;70
16256007;37423;10
23892571;519858;90
67258518;34057;10
110193060;42163;10
115081510;75333;20
424;463295;100
99415675;142436;30
121346520;39961;10
129826815;656814;100
38873108;83263;20
76957988;1000424;100
29417484;69121;20
48787512;108474;30
117596160;95118;20
134188031;507134;100
2363408;38645;10
