Pattern;p
97;3.257073205361981e-05
98;2.3352413891063254e-05
99;2.570569664404668e-05
100;0.00018027642276406238
101;2.9128473706364387e-05
102;0.00013566032753221436
103;0.00015055504038568056
104;7.277106936625235e-05
105;7.167447066048299e-05
106;1.1120425649881012e-05
107;3.857407352652762e-05
108;9.22882111617515e-05
109;0.00013620467416061894
110;5.615296863945553e-05
111;0.0002564959619017532
112;9.97808827512745e-05
113;2.1856025337876432e-05
114;2.050871096508256e-05
115;2.750503329488812e-05
116;6.139258727531234e-05
117;1.3245579732869166e-05
118;0.00010085291809777457
119;0.0001566024265027954
120;0.00024475749954565974
121;0.0001146109403257445
122;3.448582706423608e-05
123;0.0001896305452462572
124;0.0001282932961136665
125;7.590445052913299e-05
126;0.0002248538377634978
127;0.002863549837932819
128;0.001758015433801229
129;0.00015889077163931976
130;8.590343177651247e-05
131;7.333913234153761e-05
132;0.00015702113296022483
133;2.81832078806909e-05
134;7.265107594453455e-05
135;9.845784940028705e-05
136;0.00014884181666101307
137;0.00011406405266017415
138;1.24945620816471e-05
139;4.2263659491253164e-05
140;2.3116379772107747e-05
141;2.0909065487425754e-05
142;1.250444389284739e-05
143;4.6091873150245645e-05
144;0.0004033769448831658
145;6.776720251188819e-05
146;0.00044848938937473124
147;0.00013594774706941138
148;6.757154265012245e-05
149;1.4812834989235213e-05
150;0.0001366264863301399
151;9.23085394590778e-05
152;0.00011474392127075412
153;0.0001187149976859565
154;4.340712621585819e-05
155;0.00023069285883301792
156;2.0270700483886998e-05
157;2.2026274827984293e-05
158;3.0074868881889337e-05
159;0.000169941459935873
160;0.00014911681334984402
161;2.3793142670596204e-05
162;1.2383885796203848e-05
163;1.281388575214791e-05
164;0.00011370830745696369
165;2.133878310590695e-05
166;4.190283221371114e-05
167;4.580417127558576e-05
168;1.3471449703161516e-05
169;1.130620370044647e-05
170;4.517964080772741e-06
171;8.644608438013985e-06
172;1.1285310728194429e-05
173;1.500425978905798e-05
174;8.579670821554935e-06
175;2.6542262546516975e-05
176;0.0001157961929948536
177;1.9804843670159025e-05
178;4.3692004715889416e-05
179;2.9933135475530885e-05
180;0.00011928503702348182
181;2.2832912959390847e-05
182;0.0002316251371353996
183;0.00016956284539817047
184;6.323032182110347e-05
185;3.4562058179209746e-05
186;1.9197535787535465e-05
187;6.507229142883758e-05
188;3.50623601634073e-05
189;3.19834701308597e-05
190;6.571715019402225e-05
191;0.0005144629019850353
192;0.002999890598750539
193;0.00019304569919707755
194;7.307429980136983e-05
195;0.00011881720384751379
196;0.00021389462680491297
197;3.3556936811408784e-05
198;0.00012282696049512875
199;0.000243254617230827
200;0.001547603721938224
201;0.0012501806860944226
202;4.241499237134904e-05
203;0.00028505354925820365
204;0.0001371558690730126
205;0.00011339688923542311
206;6.391244913138637e-05
207;0.00030087799937688573
208;0.0002763739309747944
209;3.875985157709308e-05
210;0.00013822903376936414
211;7.240544235184161e-05
212;5.624896337682978e-05
213;1.1704017185623872e-05
214;9.621608994513547e-05
215;7.576836387203184e-05
216;0.0008745558197861522
217;0.0012995437210894273
218;0.0002376202908218843
219;0.004451890903038045
220;0.00010103926082326576
221;0.00011527556271332975
222;0.00019017743291182757
223;0.002194921646424443
224;0.0001500776077359751
225;2.8324658949586484e-05
226;1.2731725550454068e-05
227;2.2151632661496547e-05
228;0.00010154097449477763
229;2.1071127191110514e-05
230;6.33633027661131e-05
231;0.00010322765849793576
232;4.78477298318058e-05
233;3.858113196309926e-05
234;8.614963004413115e-06
235;2.499279455031145e-05
236;5.673204277579254e-05
237;6.810854850449251e-05
238;5.0226140618984254e-05
239;0.00013953597388496823
240;0.00015615605097400511
241;3.028690431650128e-05
242;3.0696011300193304e-05
243;3.60810337294258e-05
244;0.00014275207992446844
245;2.7763936748335725e-05
246;0.00018836228536306567
247;0.00019966651270127207
248;0.0003661710787016841
249;0.00019033525955356934
250;6.608672993291311e-05
251;0.00045951043223768363
252;0.00022581802019918328
253;0.00016850520926227653
254;0.0004538060861379503
255;0.006065214316207458
256;0.006404762383848245
257;0.0004229934694655936
258;0.00015857991809270492
259;0.0002151075485453829
260;0.0004570580490352344
261;6.089849671529782e-05
262;0.00019269673009297586
263;0.00036639892503421653
264;0.00018248571341098442
265;0.00018045457770313045
266;2.3480877436667027e-05
267;0.00013435112871690733
268;3.221724555011228e-05
269;2.9311710719764058e-05
270;2.803356902537222e-05
271;0.00015282079852517571
272;0.00013477152919911397
273;4.589000186429685e-05
274;6.828811513087493e-05
275;5.484772254862861e-05
276;2.3780719822230125e-05
277;8.400386532635381e-06
278;3.8030291573048786e-05
279;4.756313366923744e-05
280;9.595633947929927e-05
281;6.197476712374086e-05
282;2.0136307851563047e-05
283;0.00010122278017412829
284;2.1902328681786366e-05
285;1.3199841063884964e-05
286;2.985436332339143e-05
287;0.00015626220986004254
288;0.0024181636196124417
289;0.0001791970466435278
290;0.00011469790026430705
291;0.00010079729761759007
292;0.004456034205305596
293;0.0002238170945998559
294;0.0012469688151168655
295;0.0007687255745555229
296;7.230380086521005e-05
297;9.220266291050327e-05
298;1.1260465031462269e-05
299;5.54547480937893e-05
300;7.142460200584708e-05
301;0.00013774934241995575
302;3.8134191759383266e-05
303;0.0002542844125551282
304;0.0003116330803498189
305;6.175708493987161e-05
306;0.00012121029618276125
307;0.00014329614421541015
308;0.00029557767818651285
309;4.13059708172136e-05
310;0.0012938021064445957
311;0.0014430713820243871
312;0.00023758415162663754
313;0.00012830261324994107
314;3.4068249956658094e-05
315;0.00022587985210355082
316;0.00011505138676781459
317;7.667494946529277e-05
318;0.00018879454401871264
319;0.0028576944412904526
320;0.0005098627777025687
321;6.164386761726257e-05
322;2.8717672697895176e-05
323;3.389037735505287e-05
324;6.199678944584437e-05
325;1.953154100610528e-05
326;3.399851260333033e-05
327;6.35160473335233e-05
328;0.00017510710615645906
329;0.0002266478100025448
330;2.1419531620286464e-05
331;0.00011297423005351356
