Pattern;p
29154911;2.9187e-07
132350457;1.37807e-06
18892945;1.39516e-08
1313318;2.69148e-07
124217855;2.95097e-07
57513691;1.58494e-06
1736198;1.10045e-07
2360324;8.17304e-07
132357575;2.62535e-07
14974523;1.39175e-07
18940160;7.80539e-07
15891919;6.15779e-09
114510334;4.14026e-07
19249147;5.43242e-06
10485252;1.02858e-06
117391871;8.02262e-07
115216135;9.65705e-08
655362;2.2468e-07
52462145;1.92777e-07
65138940;9.08739e-07
119504831;5.62108e-07
223327;6.25981e-07
130278911;1.44674e-07
110199295;3.14933e-07
26744827;1.40879e-09
2354687;4.64811e-07
9979936;8.23939e-07
134203895;4.85602e-07
108761063;2.04048e-08
19138567;3.85032e-07
118255900;6.38501e-09
123994102;7.4307e-07
2097112;2.35405e-06
57671240;1.25321e-06
134209532;1.61888e-06
14944260;9.68886e-08
114255803;1.15589e-06
4341760;1.31836e-06
133654964;1.43992e-07
134053382;6.52839e-07
7868416;2.31451e-07
14938623;3.07369e-06
110313908;5.09847e-07
131727648;2.36018e-07
7999425;1.58603e-08
53345883;1.48605e-08
37782070;1.20429e-09
17172512;8.74815e-09
102731505;8.67998e-09
36873;5.39815e-06
1600518;4.93009e-07
1575131;1.91232e-07
133185025;2.15773e-07
33355;8.7461e-07
131333632;2.2265e-05
119304305;1.72009e-08
932;2.19238e-06
116638176;9.59115e-08
150971;3.78215e-07
1067058;2.73419e-07
4719634;8.99969e-07
20749975;7.90287e-08
110147163;1.22383e-07
3409408;5.04189e-07
117309435;9.13057e-07
14709192;5.592e-07
115077575;6.52362e-08
3092;3.58538e-07
230363;1.30563e-07
33324551;9.55586e-06
115831744;9.28213e-08
8667681;1.80314e-05
132124667;5.14846e-07
117442563;3.14115e-07
125836814;2.90848e-09
118491647;1.66306e-07
115043794;1.15612e-07
134217288;0.000121982
132232923;8.55819e-07
33653247;5.80082e-07
124563977;4.6172e-08
16778496;3.5522e-07
76808114;8.55955e-08
9472068;8.42117e-07
28104297;1.37471e-07
33267707;3.77647e-08
117583921;3.59469e-08
94261175;1.53899e-07
